kind,task,budget,seq,avg,lo,hi,n_layers,calib,changed
taq-is-p34,pr,3.3333,333333444433,3.3333,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-is-p34,pr,3.6667,433344444443,3.6667,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.3333,333333344443,3.3333,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.6667,333444444443,3.6667,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-is-p34,asr,3.3333,333333444433,3.3333,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-is-p34,asr,3.6667,433344444443,3.6667,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.3333,333333444433,3.3333,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.6667,334444444433,3.6667,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-is-p34,ks,3.3333,434344333333,3.3333,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ks,3.6667,444444443333,3.6667,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.3333,333444433333,3.3333,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.6667,444444443333,3.6667,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ic,3.3333,443433334333,3.3333,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-is-p34,ic,3.6667,443434444343,3.6667,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.3333,333344443333,3.3333,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.6667,443444444333,3.6667,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-is-p34,asv,3.3333,333333444433,3.3333,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-is-p34,asv,3.6667,443343444443,3.6667,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.3333,444433333333,3.3333,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.6667,444444443333,3.6667,3,4,12,"train_pool(asv, 3600s, n=450)",
