backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubert,pr,0,2,0,PER,0.053185,0.054738,0.001553,quants_1024/GPTQ/quants_tc1024_pr,131
hubert,pr,1,2,0,PER,0.053185,0.054519,0.001335,quants_1024/GPTQ/quants_tc1024_pr,129
hubert,pr,2,2,0,PER,0.053185,0.05512,0.001935,quants_1024/GPTQ/quants_tc1024_pr,134
hubert,pr,3,2,0,PER,0.053185,0.055417,0.002233,quants_1024/GPTQ/quants_tc1024_pr,124
hubert,pr,4,2,0,PER,0.053185,0.057081,0.003896,quants_1024/GPTQ/quants_tc1024_pr,97
hubert,pr,5,2,0,PER,0.053185,0.058527,0.005342,quants_1024/GPTQ/quants_tc1024_pr,114
hubert,pr,6,2,0,PER,0.053185,0.059798,0.006613,quants_1024/GPTQ/quants_tc1024_pr,122
hubert,pr,7,2,0,PER,0.053185,0.072318,0.019133,quants_1024/GPTQ/quants_tc1024_pr,118
hubert,pr,8,2,0,PER,0.053185,0.108359,0.055174,quants_1024/GPTQ/quants_tc1024_pr,89
hubert,pr,9,2,0,PER,0.053185,0.140701,0.087516,quants_1024/GPTQ/quants_tc1024_pr,82
hubert,pr,10,2,0,PER,0.053185,0.085664,0.032479,quants_1024/GPTQ/quants_tc1024_pr,97
hubert,pr,11,2,0,PER,0.053185,0.053202,1.7e-05,quants_1024/GPTQ/quants_tc1024_pr,162
hubert,asr,0,2,0,WER,0.093756,0.095086,0.00133,quants_1024/GPTQ/quants_tc1024_asr,263
hubert,asr,1,2,0,WER,0.093756,0.095105,0.001348,quants_1024/GPTQ/quants_tc1024_asr,253
hubert,asr,2,2,0,WER,0.093756,0.095873,0.002117,quants_1024/GPTQ/quants_tc1024_asr,260
hubert,asr,3,2,0,WER,0.093756,0.096502,0.002746,quants_1024/GPTQ/quants_tc1024_asr,217
hubert,asr,4,2,0,WER,0.093756,0.099664,0.005908,quants_1024/GPTQ/quants_tc1024_asr,66
